,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
Ours w/o branch (a),759.5470008952551,378.03043867502237,854.0405351880559,65.29991047448523,29.683974932855865,77.51915501578651,65.17636526410027,29.67860340196956,77.41293108071238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,24.082363473589975,44.941808415398384,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.6338406445837,77.88719785138764
Ours w/o branch (b),7.677708146821844,29.241718889883618,31.38303186815145,7.677708146821844,29.241718889883618,31.38303186815145,7.677708146821844,29.241718889883618,31.38303186815145,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658
Ours,9.520143240823634,4.851387645478962,11.666909634990162,57.69561324977619,27.991942703670546,69.86109025263083,9.337511190689346,4.69740376007162,11.383755812639693,62.936436884512084,87.46642793196061,93.37511190689347,96.3294538943599,97.58281110116384,98.2094897045658,99.0152193375112,99.28379588182632,99.55237242614146,99.64189794091315,99.73142345568488,29.185317815577438,50.940017905102955,60.16114592658908,64.27931960608774,67.77081468218442,71.79946284691137,73.76902417188899,75.38048343777976,77.17099373321396,78.96150402864816,80.75201432408237,64.36884512085945,88.272157564906,93.7332139659803,96.4189794091316,97.67233661593554,98.2094897045658,99.0152193375112,99.28379588182632,99.55237242614146,99.64189794091315,99.73142345568488
