,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
Ours w/o position,59.236347358997314,37.908683974932856,78.45178611522108,65.29991047448523,29.683974932855865,77.51883527242092,54.59623992837959,26.040286481647268,65.74113953162468,1.7009847806624887,6.445837063563116,12.533572068039392,21.128021486123547,31.69203222918532,42.345568487018795,49.77618621307073,57.833482542524614,66.06982990152194,73.76902417188899,79.4091316025067,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,23.545210384959713,46.28469113697404,56.04297224709042,61.77260519247986,66.15935541629364,70.09847806624889,72.42614145031334,75.20143240823634,77.43957027752909,79.67770814682184,81.82632050134289
Ours w/o gaze,40.74127126230976,28.58012533572068,56.85601044068107,65.30080572963294,29.692927484333033,77.52738805065505,32.83348254252462,21.211280214861237,44.02036522995556,7.699194270367054,23.187108325872874,41.271262309758285,53.804834377797675,64.54789615040286,73.67949865711728,79.76723366159355,83.97493285586393,86.75022381378693,88.89883616830797,90.59982094897046,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,23.455684870188005,47.26947179946285,61.77260519247986,69.65085049239033,76.18621307072516,81.02059086839749,84.33303491495077,87.2873769024172,88.98836168307967,91.04744852282901,92.39033124440465
Ours w/o action,4.749328558639212,11.809310653536258,13.748146272824528,65.29991047448523,29.69203222918532,77.5264623284825,5.210384959713519,8.951656222023276,11.50315430658236,21.307072515666963,91.04744852282901,97.85138764547897,99.19427036705461,99.64189794091315,99.64189794091315,99.64189794091315,99.64189794091315,99.73142345568488,99.73142345568488,99.73142345568488,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,44.31512981199642,93.37511190689347,98.2094897045658,99.19427036705461,99.64189794091315,99.64189794091315,99.64189794091315,99.64189794091315,99.73142345568488,99.73142345568488,99.73142345568488
Ours w/o branch (a),759.5470008952551,378.03043867502237,854.0405351880559,65.29991047448523,29.683974932855865,77.51915501578651,65.17636526410027,29.67860340196956,77.41293108071238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,24.082363473589975,44.941808415398384,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.6338406445837,77.88719785138764
Ours w/o branch (b),7.677708146821844,29.241718889883618,31.38303186815145,7.677708146821844,29.241718889883618,31.38303186815145,7.677708146821844,29.241718889883618,31.38303186815145,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658
Ours,6.548791405550582,3.438675022381379,8.115763524752463,65.29991047448523,29.696508504923905,77.53057967010335,7.066248880931066,4.056401074306177,8.999500024760861,78.24529991047449,93.37511190689347,96.77708146821844,97.85138764547897,98.92569382273948,99.46284691136974,99.82094897045658,99.82094897045658,99.82094897045658,99.82094897045658,99.82094897045658,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,71.70993733213966,92.39033124440465,96.77708146821844,97.94091316025067,99.0152193375112,99.46284691136974,99.82094897045658,99.82094897045658,99.82094897045658,99.82094897045658,99.82094897045658
