,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
Ours w/o a,28.30528200537153,11.001790510295434,32.48379728904323,57.773500447627576,29.085049239033125,70.42810393161668,32.74664279319606,15.25604297224709,39.18982601743986,13.876454789615039,38.406445837063565,60.16114592658908,74.03760071620412,82.00537153088631,87.2873769024172,92.21128021486123,94.71799462846911,95.79230080572964,97.04565801253358,97.94091316025067,29.811996418979408,51.298119964189794,58.728737690241715,62.75738585496866,67.05461056401074,71.08325872873769,73.23187108325872,75.20143240823634,77.08146821844225,79.14055505819158,80.57296329453895,35.36257833482542,59.26589077887198,69.56132497761863,75.47000895255148,80.75201432408237,83.97493285586393,86.21307072515667,88.3616830796777,89.79409131602507,91.31602506714414,92.30080572963296
Ours w/o branch (a),759.5470008952551,378.03043867502237,854.0405351880559,65.29991047448523,29.683974932855865,77.51915501578651,65.17636526410027,29.67860340196956,77.41293108071238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,24.082363473589975,44.941808415398384,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.6338406445837,77.88719785138764
Ours w/o branch (b),11.517457475380484,6.100268576544315,14.258226778451283,11.517457475380484,6.100268576544315,14.258226778451283,11.517457475380484,6.100268576544315,14.258226778451283,52.551477170993735,81.91584601611459,92.47985675917636,95.07609668755596,96.95613249776186,97.94091316025067,98.56759176365264,98.83616830796778,99.1047448522829,99.19427036705461,99.37332139659803,52.551477170993735,81.91584601611459,92.47985675917636,95.07609668755596,96.95613249776186,97.94091316025067,98.56759176365264,98.83616830796778,99.1047448522829,99.19427036705461,99.37332139659803,52.551477170993735,81.91584601611459,92.47985675917636,95.07609668755596,96.95613249776186,97.94091316025067,98.56759176365264,98.83616830796778,99.1047448522829,99.19427036705461,99.37332139659803
Ours,9.486123545210384,4.8701880035810206,11.646917012352882,55.85496866606983,28.304386750223813,68.4233579876693,9.286481647269472,4.735004476275739,11.369481395039417,63.29453894359892,87.64547896150403,93.19606087735004,96.23992837958818,97.67233661593554,98.2094897045658,98.92569382273948,99.19427036705461,99.55237242614146,99.64189794091315,99.73142345568488,29.09579230080573,51.20859444941809,59.623992837958816,64.0107430617726,67.77081468218442,71.44136078782452,73.32139659803045,75.38048343777976,77.17099373321396,79.14055505819158,80.66248880931064,65.35362578334826,88.00358102059087,93.46463742166517,96.3294538943599,97.76186213070726,98.2094897045658,98.92569382273948,99.19427036705461,99.55237242614146,99.64189794091315,99.73142345568488
