,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
simple_average,9.606982990152193,5.077887197851387,11.736878041608453,65.29991047448523,29.683974932855865,77.51915501578651,9.326768128916742,4.948970456580125,11.43252513705052,58.370635631154876,88.272157564906,94.71799462846911,97.13518352730529,98.29901521933752,98.83616830796778,99.28379588182632,99.46284691136974,99.64189794091315,99.73142345568488,99.73142345568488,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,61.41450313339302,88.3616830796777,94.71799462846911,97.13518352730529,98.47806624888094,98.83616830796778,99.28379588182632,99.46284691136974,99.64189794091315,99.73142345568488,99.73142345568488
weight,7.309758281110116,4.315129811996419,9.307255923100682,65.30170098478067,29.675022381378692,77.51225882164437,7.231871083258729,4.328558639212176,9.252362368196762,72.60519247985677,93.37511190689347,97.3142345568487,98.74664279319606,99.1047448522829,99.28379588182632,99.55237242614146,99.55237242614146,99.73142345568488,99.82094897045658,99.82094897045658,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,72.1575649059982,93.55416293643688,97.3142345568487,98.74664279319606,99.1047448522829,99.28379588182632,99.55237242614146,99.55237242614146,99.73142345568488,99.82094897045658,99.82094897045658
weight_endtoend,11.122649955237243,4.598925693822739,12.922018352194543,77.816472694718,34.9946284691137,91.32934287828857,10.270367054610563,4.44762757385855,12.081458597199811,50.58191584601611,87.3769024171889,93.46463742166517,96.95613249776186,97.67233661593554,98.65711727842435,99.0152193375112,99.37332139659803,99.37332139659803,99.46284691136974,99.55237242614146,35.09400179051029,54.34198746642793,57.6544315129812,60.16114592658908,62.66786034019696,65.7117278424351,67.94986571172784,69.56132497761863,71.35183527305283,72.9632945389436,74.12712623097583,57.56490599820949,88.71978513876455,93.7332139659803,97.04565801253358,97.67233661593554,98.65711727842435,99.0152193375112,99.37332139659803,99.37332139659803,99.46284691136974,99.55237242614146
weight_endtoend_fix,8.338406445837064,4.277529095792301,10.254807990225915,65.30080572963294,29.692927484333033,77.52738805065505,8.307967770814683,4.270367054610564,10.22180795290337,68.66606982990152,90.51029543419875,96.15040286481647,98.03043867502238,98.74664279319606,99.1047448522829,99.19427036705461,99.55237242614146,99.55237242614146,99.55237242614146,99.55237242614146,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,68.75559534467324,90.51029543419875,96.15040286481647,98.03043867502238,98.74664279319606,99.1047448522829,99.19427036705461,99.55237242614146,99.55237242614146,99.55237242614146,99.55237242614146
mid,10.387645478961504,6.545210384959714,13.5449783713668,65.30170098478067,29.675022381378692,77.51225882164437,11.450313339301701,8.777081468218443,15.730215217025117,51.11906893464637,83.70635631154879,92.39033124440465,96.59803043867502,98.11996418979409,98.47806624888094,99.1047448522829,99.28379588182632,99.64189794091315,99.64189794091315,99.73142345568488,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,32.408236347359,80.66248880931064,92.21128021486123,96.23992837958818,97.94091316025067,98.65711727842435,99.19427036705461,99.37332139659803,99.64189794091315,99.64189794091315,99.73142345568488
