,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
fc_shallow,86.23455684870189,61.516562220232764,116.4920638666267,86.23455684870189,61.516562220232764,116.4920638666267,86.23455684870189,61.516562220232764,116.4920638666267,0.7162041181736795,2.5067144136078783,5.371530886302596,8.683974932855863,13.876454789615039,20.859444941808416,28.737690241718887,36.0787824529991,44.852282900626676,51.566696508504926,60.42972247090421,0.7162041181736795,2.5067144136078783,5.371530886302596,8.683974932855863,13.876454789615039,20.859444941808416,28.737690241718887,36.0787824529991,44.852282900626676,51.566696508504926,60.42972247090421,0.7162041181736795,2.5067144136078783,5.371530886302596,8.683974932855863,13.876454789615039,20.859444941808416,28.737690241718887,36.0787824529991,44.852282900626676,51.566696508504926,60.42972247090421
fc_middle,96.14503133393018,57.43151298119964,121.80342200937254,96.14503133393018,57.43151298119964,121.80342200937254,96.14503133393018,57.43151298119964,121.80342200937254,0.6266786034019696,4.118173679498657,10.474485228290064,17.457475380483437,26.230975828111013,33.66159355416294,40.017905102954344,46.821844225604295,52.28290062667861,57.027752909579235,60.42972247090421,0.6266786034019696,4.118173679498657,10.474485228290064,17.457475380483437,26.230975828111013,33.66159355416294,40.017905102954344,46.821844225604295,52.28290062667861,57.027752909579235,60.42972247090421,0.6266786034019696,4.118173679498657,10.474485228290064,17.457475380483437,26.230975828111013,33.66159355416294,40.017905102954344,46.821844225604295,52.28290062667861,57.027752909579235,60.42972247090421
fc_deep,131.52820053715308,58.78603401969561,156.09420159009576,131.52820053715308,58.78603401969561,156.09420159009576,131.52820053715308,58.78603401969561,156.09420159009576,2.4171888988361685,7.341092211280214,12.802148612354522,19.874664279319607,27.84243509400179,35.810205908683976,42.166517457475386,47.17994628469114,51.74574753804835,55.59534467323187,58.10205908683975,2.4171888988361685,7.341092211280214,12.802148612354522,19.874664279319607,27.84243509400179,35.810205908683976,42.166517457475386,47.17994628469114,51.74574753804835,55.59534467323187,58.10205908683975,2.4171888988361685,7.341092211280214,12.802148612354522,19.874664279319607,27.84243509400179,35.810205908683976,42.166517457475386,47.17994628469114,51.74574753804835,55.59534467323187,58.10205908683975
deconv_shallow,16.31781557743957,8.541629364368845,19.934311598524783,16.31781557743957,8.541629364368845,19.934311598524783,16.31781557743957,8.541629364368845,19.934311598524783,38.22739480752014,71.62041181736795,84.95971351835273,91.58460161145928,94.5389435989257,96.06087735004476,97.13518352730529,97.58281110116384,98.38854073410921,98.65711727842435,99.28379588182632,38.22739480752014,71.62041181736795,84.95971351835273,91.58460161145928,94.5389435989257,96.06087735004476,97.13518352730529,97.58281110116384,98.38854073410921,98.65711727842435,99.28379588182632,38.22739480752014,71.62041181736795,84.95971351835273,91.58460161145928,94.5389435989257,96.06087735004476,97.13518352730529,97.58281110116384,98.38854073410921,98.65711727842435,99.28379588182632
deconv_middle,17.786034019695613,9.1047448522829,21.624759616666278,17.786034019695613,9.1047448522829,21.624759616666278,17.786034019695613,9.1047448522829,21.624759616666278,35.63115487914055,71.53088630259624,84.95971351835273,90.1521933751119,93.19606087735004,95.34467323187108,96.59803043867502,97.3142345568487,98.29901521933752,98.47806624888094,98.65711727842435,35.63115487914055,71.53088630259624,84.95971351835273,90.1521933751119,93.19606087735004,95.34467323187108,96.59803043867502,97.3142345568487,98.29901521933752,98.47806624888094,98.65711727842435,35.63115487914055,71.53088630259624,84.95971351835273,90.1521933751119,93.19606087735004,95.34467323187108,96.59803043867502,97.3142345568487,98.29901521933752,98.47806624888094,98.65711727842435
field_middle,11.517457475380484,6.100268576544315,14.258226778451283,11.517457475380484,6.100268576544315,14.258226778451283,11.517457475380484,6.100268576544315,14.258226778451283,52.551477170993735,81.91584601611459,92.47985675917636,95.07609668755596,96.95613249776186,97.94091316025067,98.56759176365264,98.83616830796778,99.1047448522829,99.19427036705461,99.37332139659803,52.551477170993735,81.91584601611459,92.47985675917636,95.07609668755596,96.95613249776186,97.94091316025067,98.56759176365264,98.83616830796778,99.1047448522829,99.19427036705461,99.37332139659803,52.551477170993735,81.91584601611459,92.47985675917636,95.07609668755596,96.95613249776186,97.94091316025067,98.56759176365264,98.83616830796778,99.1047448522829,99.19427036705461,99.37332139659803
field_deep,14.937332139659803,7.352730528200537,17.99532253631867,14.937332139659803,7.352730528200537,17.99532253631867,14.937332139659803,7.352730528200537,17.99532253631867,40.286481647269476,73.9480752014324,85.22829006266785,90.77887197851388,93.91226499552371,96.15040286481647,97.3142345568487,97.85138764547897,98.56759176365264,99.0152193375112,99.46284691136974,40.286481647269476,73.9480752014324,85.22829006266785,90.77887197851388,93.91226499552371,96.15040286481647,97.3142345568487,97.85138764547897,98.56759176365264,99.0152193375112,99.46284691136974,40.286481647269476,73.9480752014324,85.22829006266785,90.77887197851388,93.91226499552371,96.15040286481647,97.3142345568487,97.85138764547897,98.56759176365264,99.0152193375112,99.46284691136974
