,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
Ball detection,147.6481647269472,66.47896150402865,174.83991523206285,147.6481647269472,66.47896150402865,174.83991523206285,147.6481647269472,66.47896150402865,174.83991523206285,53.178155774395705,53.62578334825425,53.894359892569376,54.34198746642793,55.058191584601616,55.59534467323187,56.04297224709042,57.117278424350935,58.01253357206804,58.5496866606983,59.44494180841539,53.178155774395705,53.62578334825425,53.894359892569376,54.34198746642793,55.058191584601616,55.59534467323187,56.04297224709042,57.117278424350935,58.01253357206804,58.5496866606983,59.44494180841539,53.178155774395705,53.62578334825425,53.894359892569376,54.34198746642793,55.058191584601616,55.59534467323187,56.04297224709042,57.117278424350935,58.01253357206804,58.5496866606983,59.44494180841539
ISA (Trained on ground-truth attributes),36.66338406445837,24.70993733213966,48.70418855378227,36.66338406445837,24.70993733213966,48.70418855378227,36.66338406445837,24.70993733213966,48.70418855378227,5.0134288272157566,17.367949865711726,32.05013428827216,46.01611459265891,61.145926589077895,71.35183527305283,79.05102954341987,84.69113697403759,90.0626678603402,92.8379588182632,95.25514771709938,5.0134288272157566,17.367949865711726,32.05013428827216,46.01611459265891,61.145926589077895,71.35183527305283,79.05102954341987,84.69113697403759,90.0626678603402,92.8379588182632,95.25514771709938,5.0134288272157566,17.367949865711726,32.05013428827216,46.01611459265891,61.145926589077895,71.35183527305283,79.05102954341987,84.69113697403759,90.0626678603402,92.8379588182632,95.25514771709938
ISA (Trained on predicted attributes),35.10922112802149,28.380483437779766,49.74634023490058,35.10922112802149,28.380483437779766,49.74634023490058,35.10922112802149,28.380483437779766,49.74634023490058,16.56222023276634,39.301700984780666,46.463742166517456,54.521038495971354,61.41450313339302,67.5022381378693,74.7538048343778,79.67770814682184,83.70635631154879,86.83974932855864,90.42076991942703,16.56222023276634,39.301700984780666,46.463742166517456,54.521038495971354,61.41450313339302,67.5022381378693,74.7538048343778,79.67770814682184,83.70635631154879,86.83974932855864,90.42076991942703,16.56222023276634,39.301700984780666,46.463742166517456,54.521038495971354,61.41450313339302,67.5022381378693,74.7538048343778,79.67770814682184,83.70635631154879,86.83974932855864,90.42076991942703
DAVT (Trained on grond-truth attributes),759.5470008952551,378.03043867502237,854.0405351880559,65.29991047448523,29.683974932855865,77.51915501578651,65.17636526410027,29.67860340196956,77.41293108071238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,24.082363473589975,44.941808415398384,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.6338406445837,77.88719785138764
DAVT (Trained on predicted attributes),672.6893464637421,378.03043867502237,782.0169975629068,106.75022381378693,49.893464637421665,127.14963332018746,107.13697403760072,49.94807520143241,127.4694800145003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.998209489704566,14.50313339301701,21.396598030438675,27.0367054610564,31.06535362578335,35.09400179051029,38.85407341092211,43.06177260519248,46.64279319606088,50.940017905102955,53.894359892569376,6.087735004476276,14.32408236347359,21.217547000895255,26.947179946284688,31.06535362578335,35.00447627573858,38.764547896150404,42.972247090420765,46.28469113697404,50.85049239033125,53.804834377797675
Ours (Trained on grond-truth attributes),9.486123545210384,4.8701880035810206,11.646917012352882,55.85496866606983,28.304386750223813,68.4233579876693,9.286481647269472,4.735004476275739,11.369481395039417,63.29453894359892,87.64547896150403,93.19606087735004,96.23992837958818,97.67233661593554,98.2094897045658,98.92569382273948,99.19427036705461,99.55237242614146,99.64189794091315,99.73142345568488,29.09579230080573,51.20859444941809,59.623992837958816,64.0107430617726,67.77081468218442,71.44136078782452,73.32139659803045,75.38048343777976,77.17099373321396,79.14055505819158,80.66248880931064,65.35362578334826,88.00358102059087,93.46463742166517,96.3294538943599,97.76186213070726,98.2094897045658,98.92569382273948,99.19427036705461,99.55237242614146,99.64189794091315,99.73142345568488
Ours (Trained on predicted attributes),42.4923903312444,25.473589973142346,54.2544061429485,75.60966875559535,36.05102954341987,90.75040275420392,39.158460161145925,23.572963294538944,50.00942542599725,4.207699194270368,19.068934646374217,34.556848701880035,50.044762757385854,62.936436884512084,71.53088630259624,76.36526410026858,81.19964189794091,84.51208594449419,86.21307072515667,88.272157564906,17.278424350940018,35.36257833482542,44.583706356311545,51.02954341987467,56.13249776186213,59.71351835273053,61.951656222023274,65.17457475380483,66.6069829901522,68.84512085944495,71.53088630259624,9.937332139659803,28.20053715308863,43.2408236347359,55.863921217546995,66.6069829901522,73.58997314234557,78.69292748433303,82.18442256042972,84.95971351835273,86.92927484333035,89.16741271262309
