,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
Ours w/o p,59.645478961504026,38.4923903312444,78.84955136892522,65.29991047448523,29.701880035810206,77.52987541003368,56.90152193375112,26.70993733213966,68.12117698066153,1.8800358102059087,6.982990152193374,13.070725156669653,20.590868397493285,30.170098478066247,39.033124440465535,48.52282900626679,58.10205908683975,66.24888093106536,73.41092211280214,79.31960608773501,24.082363473589975,44.941808415398384,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,24.082363473589975,45.74753804834378,55.505819158460156,61.145926589077895,65.26410026857654,69.56132497761863,71.88898836168308,74.84333034914951,76.90241718889884,79.14055505819158,81.02059086839749
Ours w/o g,42.55953446732319,28.199641897940914,57.7399106339312,65.2990152193375,29.683079677708147,77.51765702853977,35.98925693822739,20.829901521933753,46.37582434556461,5.102954341987466,21.217547000895255,36.794986571172785,52.64100268576545,63.9212175470009,72.33661593554163,78.96150402864816,83.8854073410922,87.10832587287378,89.34646374216652,91.49507609668755,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,21.217547000895255,45.478961504028646,60.42972247090421,69.3822739480752,74.48522829006266,79.58818263205013,82.9006266786034,86.03401969561325,88.80931065353626,90.86839749328558,92.30080572963296
Ours w/o a,7.134288272157565,4.672336615935541,9.51624550880016,65.29991047448523,29.69203222918532,77.52651170266212,6.961504028648164,5.310653536257833,9.805865540020188,69.20322291853178,91.40555058191585,95.88182632050135,98.03043867502238,98.83616830796778,99.28379588182632,99.55237242614146,99.55237242614146,99.73142345568488,99.73142345568488,99.91047448522829,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,66.42793196060877,91.58460161145928,96.15040286481647,98.2094897045658,99.0152193375112,99.37332139659803,99.55237242614146,99.55237242614146,99.73142345568488,99.73142345568488,99.91047448522829
Ours w/o g and p,168.29453894359892,56.136974037600716,187.33628627828645,65.29991047448523,29.683974932855865,77.51883527242092,63.29991047448523,28.868397493285585,75.14169284658827,0.35810205908683973,1.1638316920322291,3.043867502238138,4.565801253357207,7.430617726051924,10.743061772605191,12.981199641897941,16.56222023276634,19.516562220232768,22.918531781557743,27.305282005371527,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,23.634735899731425,45.0313339301701,54.968666069829894,60.07162041181737,63.831692032229185,67.32318710832588,69.56132497761863,72.78424350940018,74.57475380483439,76.72336615935542,77.97672336615935
Ours w/o a and p,62.95702775290958,39.986571172784245,82.63034440805619,65.30080572963294,29.675022381378692,77.51153924383148,55.1047448522829,26.575649059982094,66.4229288987999,1.611459265890779,5.102954341987466,11.817367949865712,19.158460161145925,27.66338406445837,36.88451208594449,46.55326768128917,55.32676812891674,63.74216651745748,71.1727842435094,77.43957027752909,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,23.813786929274844,45.210384959713515,55.416293643688455,60.42972247090421,64.72694717994628,68.57654431512982,71.44136078782452,74.48522829006266,77.08146821844225,79.14055505819158,81.73679498657117
Ours w/o a and g,117.07967770814682,42.70277529095792,132.9069929241145,65.2990152193375,29.69203222918532,77.52620395760577,63.88898836168308,28.46553267681289,75.63326836636598,1.8800358102059087,6.356311548791406,12.354521038495973,19.606087735004476,27.126230975828108,35.00447627573858,41.539838854073416,45.568487018800354,50.85049239033125,55.14771709937332,58.728737690241715,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.831692032229185,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,22.829006266786035,43.598925693822736,52.99910474485229,58.5496866606983,62.578334825425245,67.23366159355416,70.09847806624889,73.32139659803045,75.29095792300807,76.99194270367055,78.60340196956133
Ours w/o branch (a),759.5470008952551,378.03043867502237,854.0405351880559,65.29991047448523,29.683974932855865,77.51915501578651,65.17636526410027,29.67860340196956,77.41293108071238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,24.082363473589975,44.941808415398384,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.6338406445837,77.88719785138764
Ours w/o branch (b),7.677708146821844,29.241718889883618,31.38303186815145,7.677708146821844,29.241718889883618,31.38303186815145,7.677708146821844,29.241718889883618,31.38303186815145,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658,0.0,2.5067144136078783,54.968666069829894,87.10832587287378,96.3294538943599,99.19427036705461,99.37332139659803,99.64189794091315,99.82094897045658,99.82094897045658,99.82094897045658
Ours,9.606982990152193,5.077887197851387,11.736878041608453,65.29991047448523,29.683974932855865,77.51915501578651,9.326768128916742,4.948970456580125,11.43252513705052,58.370635631154876,88.272157564906,94.71799462846911,97.13518352730529,98.29901521933752,98.83616830796778,99.28379588182632,99.46284691136974,99.64189794091315,99.73142345568488,99.73142345568488,24.082363473589975,45.0313339301701,54.610564010743055,59.71351835273053,63.9212175470009,67.41271262309758,69.65085049239033,72.69471799462846,74.48522829006266,76.544315129812,77.79767233661593,61.41450313339302,88.3616830796777,94.71799462846911,97.13518352730529,98.47806624888094,98.83616830796778,99.28379588182632,99.46284691136974,99.64189794091315,99.73142345568488,99.73142345568488
