,l2_dist_x_p_p,l2_dist_y_p_p,l2_dist_euc_p_p,l2_dist_x_p_s,l2_dist_y_p_s,l2_dist_euc_p_s,l2_dist_x_final,l2_dist_y_final,l2_dist_euc_final,Det p-p (Thr=0),Det p-p (Thr=10),Det p-p (Thr=20),Det p-p (Thr=30),Det p-p (Thr=40),Det p-p (Thr=50),Det p-p (Thr=60),Det p-p (Thr=70),Det p-p (Thr=80),Det p-p (Thr=90),Det p-p (Thr=100),Det p-s (Thr=0),Det p-s (Thr=10),Det p-s (Thr=20),Det p-s (Thr=30),Det p-s (Thr=40),Det p-s (Thr=50),Det p-s (Thr=60),Det p-s (Thr=70),Det p-s (Thr=80),Det p-s (Thr=90),Det p-s (Thr=100),Det final (Thr=0),Det final (Thr=10),Det final (Thr=20),Det final (Thr=30),Det final (Thr=40),Det final (Thr=50),Det final (Thr=60),Det final (Thr=70),Det final (Thr=80),Det final (Thr=90),Det final (Thr=100)
Mean average,9.53088630259624,4.834377797672337,11.666896932802848,58.121754700089525,29.058191584601612,70.8252205565967,9.071620411817367,4.643688451208594,11.085468385563221,62.75738585496866,87.46642793196061,93.55416293643688,96.3294538943599,97.67233661593554,98.03043867502238,98.83616830796778,99.28379588182632,99.55237242614146,99.55237242614146,99.73142345568488,30.08057296329454,51.11906893464637,59.35541629364369,64.10026857654432,67.77081468218442,71.62041181736795,73.58997314234557,75.02238137869293,76.6338406445837,78.4243509400179,80.57296329453895,65.62220232766339,89.34646374216652,94.6284691136974,96.68755595344673,97.76186213070726,98.03043867502238,98.83616830796778,99.28379588182632,99.55237242614146,99.55237242614146,99.73142345568488
Weighted average,9.486123545210384,4.8701880035810206,11.646917012352882,55.85496866606983,28.304386750223813,68.4233579876693,9.286481647269472,4.735004476275739,11.369481395039417,63.29453894359892,87.64547896150403,93.19606087735004,96.23992837958818,97.67233661593554,98.2094897045658,98.92569382273948,99.19427036705461,99.55237242614146,99.64189794091315,99.73142345568488,29.09579230080573,51.20859444941809,59.623992837958816,64.0107430617726,67.77081468218442,71.44136078782452,73.32139659803045,75.38048343777976,77.17099373321396,79.14055505819158,80.66248880931064,65.35362578334826,88.00358102059087,93.46463742166517,96.3294538943599,97.76186213070726,98.2094897045658,98.92569382273948,99.19427036705461,99.55237242614146,99.64189794091315,99.73142345568488
CNN fusion,9.516562220232766,4.8952551477171,11.686010107163675,60.74753804834378,28.990152193375113,73.2042058330654,9.482542524619516,4.850492390331245,11.633815817373327,62.30975828111012,87.46642793196061,93.37511190689347,96.3294538943599,97.67233661593554,98.2094897045658,98.92569382273948,99.28379588182632,99.55237242614146,99.55237242614146,99.64189794091315,29.63294538943599,51.02954341987467,59.44494180841539,63.38406445837064,67.41271262309758,70.45658012533572,72.69471799462846,74.12712623097583,75.6490599820949,77.43957027752909,79.4091316025067,62.846911369740376,87.2873769024172,93.46463742166517,96.23992837958818,97.67233661593554,98.11996418979409,98.92569382273948,99.28379588182632,99.55237242614146,99.55237242614146,99.73142345568488
